t,theta_r,theta
0.921,-3.7873644768276953,2.4958208303518914
0.925,-3.735004599267865,2.548180707911721
0.929,-3.735004599267865,2.548180707911721
0.933,-3.717551306747922,2.5656340004316642
0.938,-3.7000980142279785,2.5830872929516078
0.942,-3.6826447217080354,2.600540585471551
0.946,-3.6302848441482056,2.652900463031381
0.95,-3.5604716740684323,2.722713633111154
0.954,-3.543018381548489,2.7401669256310974
0.958,-3.5081117965086026,2.775073510670984
0.963,-3.473205211468716,2.8099800957108707
0.967,-3.473205211468716,2.8099800957108707
0.971,-3.490658503988659,2.792526803190927
0.975,-3.4557519189487724,2.827433388230814
0.979,-3.420845333908886,2.8623399732707004
0.983,-3.385938748868999,2.897246558310587
0.988,-3.368485456349056,2.91469985083053
0.992,-3.368485456349056,2.91469985083053
0.996,-3.351032163829113,2.9321531433504737
1.0,-3.30565360327726,2.9845130209103035
1.0,-3.2812189937493397,3.001966313430247
1.01,-3.2183871406775437,3.07177948351002
1.01,-3.202679177409595,3.0892327760299634
1.02,-3.1869712141416455,3.0892327760299634
1.02,-3.1468286413457762,3.141592653589793
1.03,-3.12413936106985,3.1590459461097367
1.03,-3.061307507998054,3.2288591161895095
1.03,-2.988003679414292,3.2986722862692828
1.04,-2.939134460358451,3.351032163829113
1.04,-2.9251718263424964,3.351032163829113
1.05,-2.9199358385865137,3.368485456349056
1.05,-2.8832839242946324,3.4033920413889427
1.05,-2.8518679977587347,3.4382986264288293
1.06,-2.827433388230814,3.4557519189487724
1.06,-2.750638901143063,3.5255650890285457
1.07,-2.731440279371126,3.5604716740684323
1.07,-2.652900463031381,3.6302848441482056
1.08,-2.631956512007449,3.6477381366681487
1.08,-2.631956512007449,3.6477381366681487
1.08,-2.5656340004316642,3.717551306747922
1.09,-2.483603525587931,3.8048177693476384
1.09,-2.4591689160600105,3.822271061867582
1.1,-2.4591689160600105,3.822271061867582
1.1,-2.3649211364523164,3.9269908169872414
1.1,-2.3108159296404924,3.9793506945470716
1.11,-2.3108159296404924,3.9793506945470716
1.11,-2.2584560520806627,4.031710572106901
1.12,-2.2043508452688383,4.084070449666731
1.12,-2.1485003092050197,4.136430327226561
1.13,-2.0821777976292353,4.2062434973063345
1.13,-2.071705822117269,4.2062434973063345
1.13,-1.9966566642815131,4.293509959906051
1.14,-1.932079481957723,4.34586983746588
1.14,-1.8395770316020235,4.4505895925855405
1.15,-1.7767451785302275,4.50294947014537
1.15,-1.710422666954443,4.572762640225143
1.15,-1.6613789149734022,4.625122517784973
1.16,-1.5966271997244128,4.694935687864747
1.16,-1.555559602424986,4.729842272904633
1.17,-1.4727088228328151,4.817108735504349
1.17,-1.4117968319382133,4.869468613064179
1.18,-1.3596114873035827,4.9218284906240095
1.18,-1.19729586686811,5.078908123303499
1.18,-1.0454522219446034,5.235987755982989
1.19,-0.9738937226128358,5.305800926062762
1.19,-0.8848819307611251,5.3930673886624785
1.2,-0.7993607974134029,5.480333851262195
1.2,-0.7225663103256524,5.567600313861911
1.2,-0.6422811647339133,5.6374134839416845
1.21,-0.5567600313861911,5.724679946541401
1.21,-0.47123889803846897,5.811946409141117
1.22,-0.37873644768276954,5.899212871740834
1.22,-0.24958208303518908,6.03883921190038
1.23,-0.18500490071139883,6.09119908946021
1.23,-0.10471975511965978,6.178465552059927
1.23,-0.024434609527920714,6.265732014659643
1.24,0.04886921905584118,6.335545184739416
1.24,0.15707963267948966,6.440264939859076
1.25,0.20943951023931956,6.492624817418906
1.25,0.33161255787892263,6.614797865058509
1.25,0.4188790204786391,6.702064327658226
1.26,0.5235987755982988,6.806784082777885
1.26,0.6632251157578453,6.946410422937432
1.27,0.7155849933176751,6.998770300497261
1.27,0.8203047484373349,7.103490055616922
1.28,0.9250245035569946,7.208209810736581
1.28,1.0297442586766545,7.3129295658562405
1.28,1.1344640137963142,7.417649320975901
1.29,1.2042771838760873,7.487462491055674
1.29,1.2915436464758039,7.574728953655391
1.3,1.3788101090755203,7.661995416255107
1.3,1.4835298641951802,7.766715171374766
1.3,-4.694935687864747,7.871434926494426
1.31,-4.590215932745087,7.976154681614086
1.31,-4.485496177625427,8.080874436733746
1.32,-4.4156830075456535,8.150687606813518
1.32,-4.328416544945937,8.237954069413236
1.33,-4.1887902047863905,8.377580409572781
1.33,-4.031710572106901,8.534660042252272
1.33,-3.8746309394274117,8.69173967493176
1.34,-3.839724354387525,8.726646259971648
1.34,-3.7873644768276953,8.779006137531477
1.35,-3.6651914291880923,8.901179185171081
1.35,-3.5779249665883754,8.988445647770797
1.35,-3.5081117965086026,9.05825881785057
1.36,-3.420845333908886,9.145525280450286
1.36,-3.3161255787892263,9.250245035569947
1.37,-3.232349774693498,9.337511498169663
1.37,-3.1573006168577424,9.407324668249437
1.38,-3.040363556974122,9.52949771588904
1.38,-2.9548424236264,9.616764178488756
1.38,-2.858849314766712,9.704030641088472
1.39,-2.7820548276789614,9.791297103688189
1.39,-2.7262042916151428,9.843656981248019
1.4,-2.670353755551324,9.89601685880785
1.4,-2.542944720155738,10.018189906447452
1.4,-2.4975661596038856,10.070549784007282
1.41,-2.3492131731843675,10.210176124166829
1.41,-2.282890661608583,10.279989294246601
1.42,-2.2148228207808045,10.349802464326375
1.42,-2.1153390534171272,10.454522219446034
1.43,-2.0245819323134224,10.54178868204575
1.43,-1.8971728969178363,10.663961729685354
1.43,-1.7819811662862104,10.786134777324957
1.44,-1.6828464647729326,10.890854532444616
1.44,-1.4737560203840119,11.100294042683936
1.45,-1.3316862192716734,11.239920382843483
1.45,-1.335176877775662,11.222467090323539
1.45,-1.2042771838760873,11.362093430483085
1.46,-1.1082840750163994,11.449359893082802
1.46,-0.9756390518648302,11.588986233242348
1.47,-0.8412486994612669,11.728612573401895
1.47,-0.7103490055616922,11.850785621041497
1.48,-0.5951572749300664,11.9729586686811
1.48,-0.3874630939427412,12.18239817892042
1.48,-0.3351032163829113,12.234758056480251
1.49,-0.1937315469713705,12.374384396639796
1.49,-0.09075712110370518,12.479104151759456
1.5,0.020943951023932005,12.583823906879116
1.5,0.13613568165555764,12.705996954518719
1.5,0.2792526803190927,12.845623294678266
1.51,0.4014257279586958,12.967796342317868
1.51,0.5061454830783556,13.072516097437529
1.52,0.6632251157578453,13.229595730117017
1.52,0.8377580409572782,13.404128655316452
1.53,0.9599310885968813,13.526301702956054
1.53,1.064650843716541,13.631021458075713
1.53,1.1693705988362009,13.735741213195373
1.54,1.2740903539558606,13.840460968315034
1.54,1.4311699866353502,13.997540600994522
1.55,-4.71238898038469,14.137166941154069
1.55,-4.60766922526503,14.24188669627373
1.55,-4.485496177625427,14.364059743913332
1.56,-4.34586983746588,14.503686084072879
1.56,-4.2062434973063345,14.643312424232425
1.57,-4.101523742186674,14.748032179352085
1.57,-3.9968039870670147,14.852751934471744
1.58,-3.839724354387525,15.009831567151235
1.58,-3.6826447217080354,15.166911199830723
1.58,-3.543018381548489,15.30653753999027
1.59,-3.4033920413889427,15.446163880149816
1.59,-3.368485456349056,15.481070465189703
1.6,-3.282964323001334,15.568336927789419
1.6,-3.220132469929538,15.638150097869193
1.6,-3.115412714809878,15.72541656046891
1.61,-2.933898472602468,15.882496193148398
1.61,-2.815216083466854,16.05702911834783
1.62,-2.7087509990951992,16.05702911834783
1.62,-2.663372438543347,16.231562043547264
1.63,-2.5237460983838003,16.406094968746697
1.63,-2.363175807200322,16.406094968746697
1.63,-2.2846359908605773,16.58062789394613
